,title,location,price(L),rate_persqft,area_insqft,building_status,agent_rating
15657,Residential Plot,Mucherla,16.0,665,2403,New,4.6
15658,Residential Plot,Adibatla,12.0,444,2700,New,4.6
15659,Residential Plot,Mucherla,20.0,444,4500,New,4.6
15660,Residential Plot,Mucherla,16.0,5992,267,New,4.6
15661,Residential Plot,Shamshabad,14.0,388,3600,New,4.6
15662,Residential Plot,Maheshwaram,16.0,665,2403,New,4.6
15663,Residential Plot,Bhuvanagiri,68.87,1388,4959,New,4.2
15664,2 BHK Apartment,Buddha Nagar,42.0,3500,1200,Ready to move,0.0
15665,Residential Plot,Shadnagar,11.82,777,1521,New,4.8
15666,Residential Plot,Kishan Nagar,12.87,777,1656,New,4.8
15667,3 BHK Apartment,Manikonda,81.69,4700,1738,Under Construction,4.0
15668,3 BHK Apartment,Manikonda,85.26,4700,1814,Under Construction,4.0
15669,1 BHK Apartment,Old Malakpet,30.0,3157,950,Ready to move,0.0
15670,3 BHK Independent Floor,Kukatpally,120.0,6185,1940,Ready to move,0.0
15671,1 BHK Apartment,Asif Nagar,42.0,4444,945,Ready to move,0.0
15672,2 BHK Independent House,Adibatla,52.0,3459,1503,Ready to move,0.0
15673,Residential Plot,Rudraram,9.8,777,1260,New,4.2
15674,Residential Plot,Rudraram,11.2,777,1440,New,4.6
15675,Residential Plot,Rudraram,11.9,777,1530,New,4.6
15676,Residential Plot,Rudraram,9.1,777,1170,New,4.6
15677,Residential Plot,Sangareddy,14.0,777,1800,New,4.6
15678,Residential Plot,Mamidpalli,8.4,777,1080,New,4.6
15679,Residential Plot,Rudraram,12.6,777,1620,New,4.6
15680,1 BHK Independent House,Warasiguda,30.0,4166,720,Ready to move,4.6
15681,Residential Plot,Isnapur,39.0,2222,1755,New,4.6
15682,2 BHK Apartment,Miyapur,62.0,5560,1115,Ready to move,4.6
15683,2 BHK Apartment,Miyapur,65.0,5829,1115,Ready to move,4.2
15684,2 BHK Apartment,Nagole,57.0,4541,1255,Under Construction,4.2
15685,2 BHK Apartment,Miyapur,46.13,3800,1214,Under Construction,4.2
15686,3 BHK Apartment,Kukatpally,118.0,6269,1882,Under Construction,4.8
15687,Residential Plot,Mokila,105.0,3888,2700,Resale,4.0
15688,Residential Plot,Srisailam Highway,25.95,611,4248,New,4.0
15689,Residential Plot,Thummaluru,42.78,611,7002,New,0.0
15690,Residential Plot,Rudraram,11.9,777,1530,New,4.9
15691,Residential Plot,Mamidpalli,8.4,777,1080,New,4.9
15692,Residential Plot,Rudraram,12.6,777,1620,New,4.9
15693,1 BHK Independent House,Warasiguda,30.0,4166,720,Ready to move,5.0
15694,Residential Plot,Isnapur,39.0,2222,1755,New,4.9
15695,2 BHK Apartment,Miyapur,62.0,5560,1115,Ready to move,4.0
15696,2 BHK Apartment,Miyapur,65.0,5829,1115,Ready to move,4.0
15697,2 BHK Apartment,Nagole,57.0,4541,1255,Under Construction,4.1
15698,2 BHK Apartment,Miyapur,46.13,3800,1214,Under Construction,3.9
15699,Residential Plot,Mokila,105.0,3888,2700,Resale,4.5
15700,Residential Plot,Mucherla,24.47,611,4005,New,4.5
15701,Residential Plot,Kandukur,22.93,611,3753,New,4.5
15702,Residential Plot,Srisailam Highway,38.1,611,6237,New,0.0
15703,Residential Plot,Kandukur,25.13,611,4113,New,0.0
15704,Residential Plot,Mucherla,21.99,611,3600,New,3.7
15705,Residential Plot,Srisailam Highway,21.99,611,3600,New,4.3
15706,Residential Plot,Maheshwaram,21.99,611,3600,New,4.3
15707,Residential Plot,Srisailam Highway,33.26,611,5445,New,4.7
15708,Residential Plot,Mucherla,33.26,611,5445,New,0.0
15709,Residential Plot,Srisailam Highway,33.26,611,5445,New,0.0
15710,Residential Plot,Mucherla,38.1,611,6237,New,0.0
15711,Residential Plot,Thummaluru,16.27,611,2664,New,0.0
15712,Residential Plot,Maheshwaram,13.3,611,2178,New,0.0
15713,Residential Plot,Kandukur,9.12,611,1494,New,0.0
15714,Residential Plot,Mucherla,15.94,611,2610,New,0.0
15715,Residential Plot,Thummaluru,15.72,611,2574,New,0.0
15716,4 BHK Villa,Beeramguda,85.0,3863,2200,Under Construction,0.0
15717,2 BHK Apartment,Adibatla,42.0,3684,1140,Ready to move,0.0
15718,2 BHK Independent House,Kowkur,28.0,2800,1000,Ready to move,0.0
15719,2 BHK Apartment,Nallakunta,75.0,8108,925,Ready to move,0.0
15720,3 BHK Apartment,Attapur,105.0,4146,2540,Ready to move,0.0
15721,4 BHK Apartment,Khayyam Nagar,184.0,9228,2000,Ready to move,0.0
15722,2 BHK Apartment,Nizampet,43.99,3600,1222,Ready to move,0.0
15723,1 BHK Apartment,Mallampet,34.1,3100,1100,Under Construction,0.0
15724,2 BHK Apartment,Tellapur,31.25,2500,1250,Under Construction,0.0
15725,Residential Plot,Adibatla,15.03,1000,1503,New,4.2
15726,Residential Plot,Adibatla,16.83,1000,1683,New,4.2
15727,Residential Plot,Maheshwaram,34.0,17000,200,New,4.2
15728,Residential Plot,Maheshwaram,34.0,1888,1800,New,4.2
15729,Residential Plot,Tukkuguda,33.0,1833,1800,New,4.2
15730,Residential Plot,Mangalpally,31.15,1944,1602,New,4.2
15731,Residential Plot,Adibatla,30.0,1111,2700,New,4.2
15732,Residential Plot,Adibatla,20.39,944,2160,New,4.2
15733,Residential Plot,Adibatla,19.8,1000,1980,New,4.2
15734,Residential Plot,Adibatla,18.9,1000,1890,New,4.2
15735,Residential Plot,Adibatla,19.0,1111,1710,New,4.2
15736,1 BHK Independent House,Keesara,23.0,4600,500,Ready to move,4.2
15737,3 BHK Apartment,Attapur,105.0,4146,2540,Ready to move,4.2
15738,4 BHK Apartment,Khayyam Nagar,184.0,9228,2000,Ready to move,4.2
15739,2 BHK Apartment,Nizampet,43.99,3600,1222,Ready to move,4.2
15740,1 BHK Apartment,Mallampet,34.1,3100,1100,Under Construction,4.2
15741,4 BHK Villa,Beeramguda,85.0,3863,2200,Under Construction,4.2
15742,2 BHK Apartment,Tellapur,31.25,2500,1250,Under Construction,4.2
15743,2 BHK Apartment,Moula Ali,22.0,2588,850,Ready to move,4.2
15744,3 BHK Apartment,Tellapur,89.0,5319,1673,Under Construction,4.2
15745,2 BHK Apartment,Adibatla,42.0,3684,1140,Ready to move,4.2
15746,2 BHK Independent House,Kowkur,28.0,2800,1000,Ready to move,4.2
15747,2 BHK Apartment,Nallakunta,75.0,8108,925,Ready to move,4.2
15748,Residential Plot,Adibatla,21.6,1000,2160,New,4.2
15749,Residential Plot,Adibatla,19.79,8999,220,New,4.2
15750,Residential Plot,Kadthal,12.66,944,1341,New,4.2
15751,Residential Plot,Kadthal,13.5,1000,1350,New,4.2
15752,Residential Plot,Maheshwaram,26.45,1277,2070,New,4.2
15753,Residential Plot,Maheshwaram,27.25,1277,2133,New,4.2
15754,Residential Plot,Mangalpally,38.85,1944,1998,New,4.2
15755,Residential Plot,Mangalpally,28.7,1944,1476,New,4.2
15756,Residential Plot,Adibatla,36.0,2000,1800,New,4.2
15757,Residential Plot,Yadagirigutta,8.0,757,1056,New,4.0
15758,Residential Plot,Madinaguda,38.0,3598,1056,New,4.1
15759,Residential Plot,Ameenpur Village Patancheru,38.0,3598,1056,New,4.1
15760,Residential Plot,Mokila,46.0,4356,1056,New,4.1
15761,Residential Plot,BB Nagar,46.0,4356,1056,New,4.1
15762,2 BHK Apartment,Nizampet KTR Colony,30.0,3000,1000,Ready to move,4.1
15763,2 BHK Apartment,RTC Colony Ameenpur,27.94,2300,1215,Under Construction,4.4
15764,Residential Plot,Bhongir,23.99,1333,1800,New,0.0
15765,Residential Plot,Sadasivpet,12.17,925,1315,New,4.7
15766,Residential Plot,Mangalpally,31.15,1944,1602,New,4.4
15767,Residential Plot,Kadthal,12.66,944,1341,New,0.0
